target_idx,sentence,pred,prob,true_label,context_idx
65776,lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded . ,1,0.9952784776687622,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
14146,"sensitive , smart , savvy , compelling coming-of-age drama ",1,0.9996465444564819,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
52191,all the comic possibilities of its situation ,1,0.996020495891571,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
813,us a slice of life that 's very different from our own and yet instantly recognizable ,1,0.9986076951026917,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
8581,in alcatraz ' ... a cinematic corpse ,0,0.9995150566101074,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
39696,dreadful romance ,0,0.9998518228530884,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
23687,"a loud , brash and mainly unfunny high school comedy . ",0,0.9999138116836548,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
16134,"a mushy , existential exploration of why men leave their families ",0,0.9488884210586548,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
34430,is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics . ,1,0.999257504940033,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
25417,a shallow rumination on the emptiness of success ,0,0.999749481678009,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
15208,give it a marginal thumbs up ,1,0.8670211434364319,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
56954,daring and beautifully made . ,1,0.9996358156204224,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
36313,should be thrown back in the river ,0,0.9994673132896423,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
31382,well-written and occasionally challenging social drama ,1,0.9990680813789368,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
32810,character-driven storytelling ,1,0.9980608820915222,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
53235,"to feel anything much while watching this movie , beyond mild disturbance or detached pleasure at the acting ",0,0.9993871450424194,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
12568,lacks ,0,0.999546229839325,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
59428,"perception , conviction ",1,0.9796547293663025,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
37091,adds an almost constant mindset of suspense ,1,0.9975239634513855,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
35658,burnt out on it 's a wonderful life marathons and bored with a christmas carol ,0,0.9788480997085571,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
56168,make like the title and dodge this one ,0,0.9992892742156982,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
37009,dead gorgeous ,1,0.9981071949005127,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
44421,might more accurately be titled mr. chips off the old block ,0,0.990261971950531,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
26827,film a must for everyone from junior scientists ,1,0.9986881613731384,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
18148,an elegance and maturity ,1,0.9990344047546387,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
63779,more grueling and ,1,0.7878442406654358,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
19391,"tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality . ",0,0.9999340772628784,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
45241,emotionally bruised characters ,1,0.9196342825889587,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
18599,"a tired , unnecessary retread ... ",0,0.9997593760490417,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
2861,"loose , unaccountable ",0,0.9956608414649963,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
54212,neither original ,0,0.9992175102233887,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
25221,"some good , organic character work , ",1,0.930450439453125,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
67068,doubtful this listless feature will win him any new viewers ,0,0.9999295473098755,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
14026,bad acting ,0,0.999200165271759,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
4026,"it does give a taste of the burning man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity . ",1,0.9964426159858704,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
37796,... a funny yet dark and seedy clash of cultures and generations . ,1,0.9955639839172363,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
50685,"the rich and sudden wisdom , the film ",1,0.9688471555709839,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
31045,as one of the great films about movie love ,1,0.9987447261810303,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
52250,have no bearing on the story ,0,0.996557891368866,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
57931,wickedly funny and ,1,0.999158501625061,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
46062,"filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy ",0,0.9999043941497803,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
33962,if it were subtler ... or if it had a sense of humor ,0,0.9961422085762024,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
22109,"and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen . ",1,0.9993402361869812,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
978,of classic romantic comedy to which it aspires ,0,0.995688259601593,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
33657,singing long after the credits roll ,1,0.9989126920700073,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
7348,this italian freakshow ,0,0.9988346695899963,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
22056,"the film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting ",1,0.9988111257553101,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
33604,kids to watch too many barney videos ,0,0.9981018900871277,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
57086,by turns very dark and very funny ,1,0.9981808662414551,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
29,"the plot is nothing but boilerplate clichés from start to finish , ",0,0.9995993971824646,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
490,transfixes the audience ,1,0.9992874264717102,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
27804,complex and honest ,1,0.9995566010475159,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
61514,ducts does n't mean it 's good enough for our girls ,0,0.9859148263931274,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
45641,lazy tearjerker ,0,0.9977669715881348,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
46458,dead ,0,0.993846595287323,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
29544,been remarkable ,1,0.9886511564254761,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
29364,"us love it , too . ",1,0.9944761395454407,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
65516,"if you are curious to see the darker side of what 's going on with young tv actors ( dawson leery did what ?!? ) , or see some interesting storytelling devices , you might want to check it out ",1,0.8871946334838867,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
37252,this film asks the right questions at the right time in the history of our country ,1,0.9988498687744141,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
26398,warm ,1,0.9901346564292908,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
62547,'s never a dull moment in the giant spider invasion comic chiller ,1,0.993848979473114,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
39996,shared by the nation at their sacrifice . ,1,0.8807834386825562,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
39737,a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety ,0,0.9990812540054321,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
45742,carved their own comfortable niche in the world ,1,0.9833309054374695,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
35076,the film buzz and whir ; very little of it ,0,0.9632012248039246,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
46332,features a standout performance by diane lane ,1,0.9976535439491272,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
3923,it 's hard to imagine a more generic effort in the genre . ,0,0.9998481273651123,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
1331,bloody beauty as vivid ,1,0.9898166656494141,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
3819,gross-out humor ,0,0.970649003982544,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
53354,a dualistic battle between good and evil ,1,0.936275064945221,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
4215,deliberately and skillfully ,1,0.9985829591751099,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
5094,feeble comedy ,0,0.999854326248169,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
56979,some of the more overtly silly dialogue ,0,0.9926238059997559,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
43661,i know that i 'll never listen to marvin gaye or the supremes the same way again ,1,0.9929825067520142,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
60817,should dispel it ,1,0.6370093822479248,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
28776,what makes it interesting as a character study is the fact that the story is told from paul 's perspective ,1,0.9416503310203552,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
59799,a stylistic ,1,0.8519263863563538,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
61628,the new film of anton chekhov 's the cherry orchard ,1,0.9688462615013123,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
44356,refracting all of world war ii through the specific conditions of one man ,1,0.9736267924308777,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
63070,guilt-free trip ,1,0.9942161440849304,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
34526,be lost on the target audience ,0,0.9985480904579163,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
59176,full of the kind of obnoxious ,0,0.9981362819671631,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
19456,family togetherness takes a back seat to inter-family rivalry and workplace ambition ... whole subplots have no explanation or even plot relevance ,0,0.9999115467071533,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
50647,us ,1,0.6291863918304443,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
30813,viewers out in the cold and undermines some phenomenal performances . ,0,0.9998341798782349,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
62434,"we ca n't accuse kung pow for misfiring , since it is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie . ",0,0.9648202061653137,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
64327,'s crap on a leash -- far too polite to scale the lunatic heights of joe dante 's similarly styled gremlins . ,0,0.9991208910942078,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
45489,", evocative ",1,0.9922910332679749,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
17704,"designed as a reverie about memory and regret , but the only thing you 'll regret is remembering the experience of sitting through it ",0,0.9999600648880005,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
33117,fussy ,0,0.9978062510490417,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
16127,as shallow entertainment ,0,0.9899638295173645,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
48593,sit in neutral ,0,0.9241047501564026,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
8571,are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . ,0,0.9997707009315491,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
5946,"it looks good , sonny , but you missed the point ",0,0.9432255029678345,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
34385,uneven performances and a spotty script ,0,0.9997418522834778,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
16477,postcard perfect ,1,0.998330295085907,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
61877,in the solemnity with which it tries to pump life into overworked elements from eastwood 's dirty harry period ,0,0.9998098015785217,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
57987,creepy-scary ,1,0.9850371479988098,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
28722,childhood imagination ,1,0.9955276846885681,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
55044,serves up with style and empathy ,1,0.999329686164856,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
63725,be like trying to eat brussels sprouts ,0,0.9973016977310181,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
36222,was developed hastily after oedekerk ,0,0.9990164041519165,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
38430,feel like time fillers between surf shots . ,0,0.9986170530319214,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
23102,i was entranced . ,1,0.9987987279891968,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
21769,as solid and as perfect as his outstanding performance as bond in die another day ,1,0.998524010181427,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
11758,teeth-gnashing ,0,0.9799270629882812,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
56190,is that it avoids the obvious with humor and lightness ,1,0.9946469664573669,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
56446,duvall 's throbbing sincerity ,1,0.9992374181747437,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
49937,"one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother ",0,0.9974959492683411,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
34099,happy gilmore or the waterboy ,0,0.562145471572876,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
27696,"clever , offbeat and ",1,0.9982287287712097,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
56308,eye-popping ,1,0.9793385863304138,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
54085,a well-made and satisfying thriller ,1,0.9994667172431946,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
60787,"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening , but it 's stupid ",0,0.999896764755249,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
44205,food-for-thought cinema ,1,0.9949328303337097,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
45050,refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original ,1,0.9996960163116455,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
18562,provide its keenest pleasures to those familiar with bombay musicals ,1,0.9872704744338989,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
32858,this film is too busy hitting all of its assigned marks to take on any life of its own . ,0,0.9998075366020203,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
43324,the mill sci-fi film with a flimsy ending and lots of hype ,0,0.9989566802978516,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
1711,the emotional overload of female angst irreparably drags the film down . ,0,0.9998173117637634,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
51368,shyamalan 's gifts ,1,0.997857391834259,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
66808,( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment ,1,0.9987812638282776,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
7459,favorite musical ,1,0.9941756725311279,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
37336,substitute volume and primary colors for humor and bite ,0,0.9991844296455383,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
9659,"seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah . ",0,0.99972003698349,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
61049,creates sheerly cinematic appeal ,1,0.9995388984680176,1,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
26806,may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence ,0,0.9993783235549927,0,"[36043, 27282, 48591, 29372, 22896, 35420, 42507, 4127]"
